ID,Priority 
100,Action taken on climate change
101,Better transport and roads
102,Support for people who can't work
103,Access to clean water and sanitation
104,Better healthcare
105,A good education
106,A responsive government we can trust
107,Phone and internet access
108,Reliable energy at home
109,Affordable and nutritious food
110,"Protecting forests, rivers and oceans"
112,Political freedoms
111,Protection against crime and violence
113,Freedom from discrimination and persecution
114,Equality between men and women
115,Better job opportunities